id,year,category,title,authors,venue_or_status,setting_or_data,intervention_or_focus,key_finding,limitation_for_our_question,role_in_ear,url
wu2024,2024,Robustness,"How Easily Do Irrelevant Inputs Skew the Responses of Large Language Models?","Siye Wu et al.",Preprint 2024,"LLMs exposed to graded irrelevant inputs","Semantically related distractor taxonomy","Even apparently irrelevant context can systematically steer model responses.","Does not use a frozen real retrieval ranking or measure recovery after reversal.","Informs a mechanism-oriented distractor taxonomy.",https://arxiv.org/abs/2404.03302
chen2024,2024,Robustness,"Benchmarking Large Language Models in Retrieval-Augmented Generation","Jiawei Chen et al.",AAAI 2024,"RGB benchmark across RAG abilities","Noise, rejection, integration, and counterfactual tests","RAG systems vary substantially in noise robustness and information integration.","A broad benchmark does not isolate adjacent depth transitions.","Provides diagnostic categories and external benchmark context.",https://doi.org/10.1609/aaai.v38i16.29728
cao2025,2025,Robustness,"Evaluating the Retrieval Robustness of Large Language Models","Shuyang Cao et al.",Preprint 2025,"1,500 questions and 11 language models","No-RAG, retrieval-size, and retrieval-order robustness","Retrieval robustness varies with passage count and ordering.","Already covers retrieval-size degradation, so EAR cannot claim that idea as new.","Closest depth-based overlap; EAR adds adjacent trajectories, persistence, recovery, and gate trade-offs.",https://arxiv.org/abs/2505.21870
syang2025,2025,Robustness,"Quantifying the Robustness of Retrieval-Augmented Language Models Against Spurious Features in Grounding Data","Shiping Yang et al.",Preprint 2025,"Grounding data with semantic-agnostic perturbations","Correct/wrong transition measurement","Spurious grounding features cause sample-level transitions between correct and incorrect states.","Perturbed grounding differs from expanding one fixed real ranking.","Closest metric overlap and an explicit novelty boundary.",https://arxiv.org/abs/2503.05587
joren2025,2025,Robustness,"Sufficient Context: A New Lens on Retrieval Augmented Generation Systems","Hailey Joren et al.",ICLR 2025,"RAG questions labeled for context sufficiency","Sufficiency prediction and selective generation","Knowing whether context is sufficient improves interpretation and selective answering.","Sufficiency alone does not optimize the joint harm-repair-coverage trade-off after an answer changes.","Strong abstention and evidence-sufficiency baseline.",https://openreview.net/forum?id=Jjr2Odj8DJ
hwang2025,2025,Robustness,"Retrieval-Augmented Generation with Conflicting Evidence","Han Wang et al.",COLM 2025,"RAG contexts containing conflicting claims","Conflict benchmark and handling","Conflicting retrieved evidence exposes weaknesses in synthesis and answer selection.","Conflict is only one possible cause of an observed reversal.","Supports conflict-aware follow-up analysis.",https://openreview.net/forum?id=z1MHB2m3V9
hagstrom2025,2025,Robustness,"A Reality Check on Context Utilisation for Retrieval-Augmented Generation","Lovisa Hagstrom et al.",ACL 2025,"Real retrieved contexts annotated for reliability, sufficiency, difficulty, and stance","DRUID context-utilization benchmark","Real retrieval quality has multiple dimensions that synthetic noise misses.","Does not follow the same question through nested retrieval depths.","Motivates manual evidence audits and richer real-context labels.",https://aclanthology.org/2025.acl-long.968/
naphade2026,2026,Robustness,"Rational Synthesizers or Heuristic Followers? Analyzing LLMs in RAG-based Question-Answering","Atharv Naphade","Findings of ACL 2026","1,635 questions and 15,058 documents with grouped conflicting evidence","Evidence repetition and order","Model conclusions often follow presentation heuristics rather than the strongest evidence.","Conflict groups are constructed rather than inherited from one retriever's ranking.","Provides recent mechanism-level context for why answers can flip.",https://aclanthology.org/2026.findings-acl.2003/
es2024,2024,Evaluation,"RAGAs: Automated Evaluation of Retrieval Augmented Generation","Shahul Es et al.",EACL Demo 2024,"Reference-free RAG evaluation","Faithfulness, relevance, and context metrics","Component-level automatic metrics help diagnose a RAG pipeline without gold references.","Evaluator scores are not substitutes for correctness transitions on labeled QA.","Secondary evaluation option; gold-answer trajectory scoring remains primary.",https://aclanthology.org/2024.eacl-demo.16/
saadfalcon2024,2024,Evaluation,"ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems","Jon Saad-Falcon et al.",NAACL 2024,"RAG evaluation with lightweight judges","Context relevance, faithfulness, and answer relevance","Synthetic training plus a small amount of human annotation can support automated RAG evaluation.","Judge quality and calibration introduce another model-dependent layer.","Candidate evidence-support signal for a stronger gate.",https://aclanthology.org/2024.naacl-long.20/
niu2024,2024,Evaluation,"RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models","Cheng Niu et al.",ACL 2024,"18,000 naturally generated RAG responses","Case- and word-level hallucination annotation","Fine-grained human labels reveal hallucinations not captured by coarse correctness alone.","Hallucination annotation is not an adjacent retrieval-depth experiment.","Separates correctness from faithfulness in interpretation.",https://aclanthology.org/2024.acl-long.585/
peng2025,2025,Evaluation,"Unanswerability Evaluation for Retrieval Augmented Generation","Xiangyu Peng et al.",ACL 2025,"Six categories of unanswerable RAG queries","UAEval4RAG rejection evaluation","RAG systems need category-sensitive evaluation of whether to answer or reject.","Abstention on unanswerable inputs is not the same as reacting to evidence-induced answer changes.","Required framework for coverage and abstention reporting.",https://aclanthology.org/2025.acl-long.415/
setiawan2026,2026,Evaluation,"Prompt-Based Abstention Fails Under Misleading Context: A Controlled Study of Small Frozen RAG Models","Yohanes Andre Setiawan","Preprint 2026","Missing versus misleading retrieved context","Prompted abstention and verifier trade-offs","Misleading evidence remains difficult: verification can reduce error while sacrificing correct-answer coverage.","Very recent preprint evidence has not yet received archival review.","Reinforces reporting coverage and retained repairs alongside reversal reduction.",https://arxiv.org/abs/2608.22228
asai2024,2024,Mitigation,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","Akari Asai et al.",ICLR 2024,"Knowledge-intensive generation and QA","Learned reflection tokens and adaptive retrieval","Joint retrieval and critique can improve factuality and controllability.","Requires training and a substantially heavier controller than a lexical diagnostic gate.","Strong learned self-critique baseline for later work.",https://openreview.net/forum?id=hSyW5go0v8
xu2024,2024,Mitigation,"RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation","Fangyuan Xu et al.",ICLR 2024,"RAG tasks with compressed retrieved context","Extractive/abstractive compression and selective omission","Selective compression can remove unhelpful material and sometimes omit retrieval entirely.","Optimizes context before generation rather than responding to observed answer change.","Filtering and compression baseline.",https://openreview.net/forum?id=mlJLVigNHp
yan2024,2024,Mitigation,"Corrective Retrieval Augmented Generation","Shi-Qi Yan et al.",Preprint 2024,"Open-domain QA with imperfect retrieval","Retrieval evaluator and corrective actions","A retrieval-quality evaluator can trigger corrective search and document refinement.","More complex and not evaluated specifically on fixed-depth reversal retention.","Retrieval-quality gate baseline.",https://arxiv.org/abs/2401.15884
jeong2024,2024,Mitigation,"Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity","Soyeong Jeong et al.",NAACL 2024,"Open-domain QA at different complexity levels","Routing among no, single-step, and iterative retrieval","Question complexity can guide how much retrieval and reasoning to use.","Routes before observing an answer change and does not measure beneficial repair retention.","Query-level adaptive retrieval baseline.",https://aclanthology.org/2024.naacl-long.389/
astute2025,2025,Mitigation,"Astute RAG: Overcoming Imperfect Retrieval Augmentation and Knowledge Conflicts for Large Language Models","Fei Wang et al.",ACL 2025,"RAG with imperfect external evidence and internal knowledge","Source-aware consolidation and conflict resolution","Explicit consolidation improves robustness to imperfect or conflicting sources.","Requires richer reasoning and does not directly expose the minimal trajectory trade-off.","Strong conflict-resolution baseline.",https://aclanthology.org/2025.acl-long.1476/
park2025,2025,Mitigation,"Stop-RAG: Value-Based Retrieval Control for Iterative Retrieval-Augmented Generation","Jaewan Park et al.",Preprint 2025,"Iterative retrieval-augmented generation","Learned value-based stopping","A controller can learn when further retrieval has insufficient value.","Training cost and iterative retrieval differ from deterministic frozen prefixes.","Closest adaptive stopping comparison.",https://arxiv.org/abs/2510.14337
wei2024,2024,Mitigation,"Instructing Retrieval-Augmented Generation with Explicit Denoising","Zhepei Wei et al.",Preprint 2024,"RAG with noisy retrieved documents","Denoising rationales before answering","Explicit denoising instruction improves the use of noisy evidence.","Requires trained reasoning behavior and does not isolate adjacent reversal events.","Denoising baseline and qualitative failure comparison.",https://arxiv.org/abs/2406.13629
